"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.133047625E0,2.444291592E0,-1.383647537E1,-3.245123291E1
2.142986625E0,2.480814457E0,-1.324345589E1,-3.278017426E1
2.152925625E0,2.309479713E0,-1.312553406E1,-3.252137375E1
2.162864625E0,2.444880009E0,-1.293491364E1,-3.271887970E1
2.172803625E0,2.392464161E0,-1.244652176E1,-3.293888474E1
2.182742625E0,2.406659126E0,-1.205051422E1,-3.331243134E1
2.192681625E0,2.376870632E0,-1.172740173E1,-3.322592926E1
2.202619625E0,2.373435497E0,-1.153805923E1,-3.335671997E1
2.212558625E0,2.312758446E0,-1.123470688E1,-3.356707001E1
2.222497625E0,2.134674549E0,-1.071583366E1,-3.340999603E1
2.232436625E0,2.040522575E0,-1.045226288E1,-3.383668518E1
2.242375625E0,2.088097095E0,-9.989435196E0,-3.363904190E1
2.252314625E0,1.981844902E0,-9.634773254E0,-3.400400543E1
2.262253625E0,1.967257977E0,-9.261053085E0,-3.405219269E1
2.272192625E0,1.905775547E0,-8.925180435E0,-3.417394257E1
2.282131625E0,1.844198227E0,-8.453598022E0,-3.414131927E1
2.292070625E0,1.828954220E0,-8.196903229E0,-3.431832886E1
2.302009625E0,1.738510609E0,-7.756315231E0,-3.448398972E1
2.311948625E0,1.748912334E0,-7.565509796E0,-3.439034271E1
2.321887625E0,1.886248589E0,-7.229856491E0,-3.431528854E1
2.331826625E0,1.765187263E0,-7.013366699E0,-3.443183136E1
2.341765625E0,1.678455353E0,-6.929264069E0,-3.441519928E1
2.351704625E0,1.627375603E0,-6.821437836E0,-3.440247726E1
2.361643625E0,1.690745354E0,-6.677726746E0,-3.441890717E1
2.371582625E0,1.663785458E0,-6.400077820E0,-3.439415359E1
2.381521625E0,1.587974548E0,-6.144195557E0,-3.431812286E1
2.391460625E0,1.493773937E0,-6.022291183E0,-3.455186081E1
2.401399625E0,1.493773937E0,-6.022291183E0,-3.455186081E1
2.411338625E0,1.702486992E0,-5.793672562E0,-3.431179810E1
2.421277625E0,1.710278034E0,-5.540239334E0,-3.470653152E1
2.431216625E0,1.788732529E0,-5.143489838E0,-3.458242416E1
2.441155625E0,1.956440926E0,-4.756864548E0,-3.454031372E1
2.451094625E0,1.924212456E0,-4.424915314E0,-3.467463684E1
2.461033625E0,2.025105953E0,-4.244749069E0,-3.457516861E1
2.470972625E0,2.072891235E0,-3.876319885E0,-3.468430328E1
2.480911625E0,2.070958138E0,-3.695659637E0,-3.495070267E1
2.490850625E0,2.205536842E0,-3.261112213E0,-3.485963821E1
2.500789625E0,2.111690521E0,-3.026082993E0,-3.469973755E1
2.510727625E0,2.053575516E0,-2.809162140E0,-3.466011429E1
2.520666625E0,2.115248680E0,-2.492710114E0,-3.463616180E1
2.530605625E0,2.186311245E0,-2.411628723E0,-3.460839844E1
2.540544625E0,2.220257759E0,-2.001766205E0,-3.475824356E1
2.550483625E0,2.160199165E0,-1.683332443E0,-3.473686600E1
2.560422625E0,2.048977375E0,-1.384645462E0,-3.472381973E1
2.570361625E0,2.058857918E0,-1.109697342E0,-3.469897079E1
2.580300625E0,2.016990662E0,-8.578147888E-1,-3.441909790E1
2.590239625E0,2.000719547E0,-6.759738922E-1,-3.470848083E1
2.600178625E0,1.910092354E0,-3.473129272E-1,-3.482697296E1
2.610117625E0,1.819872856E0,-5.483055115E-2,-3.465562057E1
2.620056625E0,1.951527596E0,2.794380188E-1,-3.446011734E1
2.629995625E0,1.872950077E0,6.686820984E-1,-3.449287415E1
2.639934625E0,1.679346561E0,1.017356873E0,-3.454195404E1
2.649873625E0,1.650650978E0,1.187252045E0,-3.462120819E1
2.659812625E0,1.474454403E0,1.273956299E0,-3.460692596E1
2.669751625E0,1.474454403E0,1.273956299E0,-3.460692596E1
2.679690625E0,1.466147900E0,1.576030731E0,-3.470827484E1
2.689629625E0,1.338282585E0,1.716091156E0,-3.444195175E1
2.699568625E0,1.173464298E0,2.037368774E0,-3.440248108E1
2.709507625E0,1.179749012E0,2.372768402E0,-3.419887543E1
2.719446625E0,9.626393318E-1,2.598365784E0,-3.437096024E1
2.729385625E0,7.868413925E-1,3.130115509E0,-3.424746323E1
2.739324625E0,6.881661415E-1,3.334136963E0,-3.413882828E1
2.749263625E0,6.037335396E-1,3.564960480E0,-3.421900177E1
2.759202625E0,4.876704216E-1,3.879222870E0,-3.405339050E1
2.769141625E0,3.053507805E-1,4.222866058E0,-3.412274933E1
2.779080625E0,2.804017067E-1,4.606605530E0,-3.431948090E1
2.789019625E0,3.509788513E-1,4.915004730E0,-3.405327988E1
2.798958625E0,1.230220795E-1,5.125976562E0,-3.412306976E1
2.808897625E0,-8.737802505E-2,5.226509094E0,-3.402727509E1
2.818836625E0,-6.532430649E-2,5.511810303E0,-3.395220947E1
2.828774625E0,-2.712106705E-1,5.675075531E0,-3.401976776E1
2.838713625E0,-5.086665154E-1,6.062305450E0,-3.392398453E1
2.848652500E0,-6.239736080E-1,6.180450439E0,-3.417097855E1
2.858591500E0,-8.693363667E-1,6.487258911E0,-3.399740219E1
2.868530500E0,-8.985395432E-1,6.752666473E0,-3.384262848E1
2.878469500E0,-1.076845884E0,7.042659760E0,-3.373421478E1
2.888408500E0,-1.044490099E0,7.168647766E0,-3.366137695E1
2.898347500E0,-1.141210079E0,7.408668518E0,-3.360036850E1
2.908286500E0,-1.265322208E0,7.534061432E0,-3.375940704E1
2.918225500E0,-1.477659464E0,7.969360352E0,-3.368391800E1
2.928164500E0,-1.639840603E0,8.095237732E0,-3.356056595E1
2.938103500E0,-1.668271303E0,8.308525085E0,-3.360998917E1
2.948042500E0,-1.668271303E0,8.308525085E0,-3.360998917E1
2.957981500E0,-1.683272839E0,8.598968506E0,-3.341615295E1
2.967920500E0,-1.901473999E0,8.815208435E0,-3.334091949E1
2.977859500E0,-1.788439989E0,9.105823517E0,-3.334513855E1
2.987798500E0,-1.847756386E0,9.175930023E0,-3.332163620E1
2.997737500E0,-1.880357265E0,9.425392151E0,-3.320048141E1
3.007676500E0,-1.917122364E0,9.797931671E0,-3.315257263E1
3.017615500E0,-2.009063005E0,1.008942413E1,-3.303398132E1
3.027554500E0,-2.077769756E0,1.031694794E1,-3.287426758E1
3.037493500E0,-2.089508533E0,1.043290710E1,-3.282547379E1
3.047432500E0,-2.129494429E0,1.068345642E1,-3.292543030E1
3.057371500E0,-2.103291035E0,1.103978348E1,-3.286538315E1
3.067310500E0,-2.126529217E0,1.127370453E1,-3.267086411E1
3.077249500E0,-2.226802111E0,1.147282410E1,-3.263251877E1
3.087188500E0,-2.311765432E0,1.190369415E1,-3.277822876E1
3.097127500E0,-2.519772291E0,1.214651871E1,-3.266110992E1
3.107066500E0,-2.385727167E0,1.232136154E1,-3.236991882E1
3.117005500E0,-2.475260973E0,1.265111923E1,-3.226991653E1
3.126944500E0,-2.521330833E0,1.282302094E1,-3.234323502E1
3.136883500E0,-2.539071083E0,1.317001724E1,-3.252622986E1
3.146822500E0,-2.552929401E0,1.333341217E1,-3.211935806E1
3.156761500E0,-2.666590214E0,1.368583679E1,-3.207021332E1
3.166699500E0,-2.743017673E0,1.386919785E1,-3.188343430E1
3.176638500E0,-2.765282869E0,1.402642822E1,-3.172330856E1
3.186577500E0,-2.797163248E0,1.432410049E1,-3.146284485E1
3.196516500E0,-2.925832272E0,1.464858246E1,-3.149340057E1
3.206455500E0,-2.840422869E0,1.483105469E1,-3.128259659E1
3.216394500E0,-2.840422869E0,1.483105469E1,-3.128259659E1
3.226333500E0,-2.732465267E0,1.495701981E1,-3.129990768E1
3.236272500E0,-2.912712812E0,1.519791794E1,-3.128838348E1
3.246211500E0,-3.040174007E0,1.536130524E1,-3.111130905E1
3.256150500E0,-2.953165293E0,1.560654449E1,-3.099350739E1
3.266089500E0,-2.771102428E0,1.580219269E1,-3.098394012E1
3.276028500E0,-2.805860281E0,1.606485367E1,-3.103007507E1
3.285967500E0,-2.774424791E0,1.624502563E1,-3.094701385E1
3.295906500E0,-2.825515747E0,1.653510284E1,-3.085661316E1
3.305845500E0,-2.864781618E0,1.671457291E1,-3.063150406E1
