"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.000419583E0,-1.553768921E-1,2.272274780E-1,1.004171814E1,1.004549041E1
2.010358583E0,-6.556365967E-2,1.863624573E-1,9.963281250E0,9.965239727E0
2.020297583E0,1.420545959E-1,2.321672058E-1,9.857750702E0,9.861507492E0
2.030236583E0,2.680924988E-1,2.607577515E-1,9.938582611E0,9.945616749E0
2.040175583E0,1.993853760E-1,3.188369751E-1,9.898016968E0,9.905157820E0
2.050114583E0,1.398092651E-1,3.981719971E-1,9.783205719E0,9.792303187E0
2.060053583E0,7.095245361E-2,4.058061218E-1,9.658515015E0,9.667296682E0
2.069992583E0,3.173400879E-2,4.050576782E-1,9.672885132E0,9.681414439E0
2.079931583E0,2.636018372E-1,4.062551880E-1,9.902807007E0,9.914641487E0
2.089870583E0,4.620890808E-1,5.364843750E-1,9.909842377E0,9.935105321E0
2.099809583E0,8.116122437E-1,7.131170654E-1,1.002195923E1,1.008002565E1
2.109748583E0,1.074465637E0,8.439450073E-1,9.966724091E0,1.005993582E1
2.119687583E0,1.208586731E0,7.777825928E-1,9.924212494E0,1.002774258E1
2.129626583E0,1.072669373E0,6.526428223E-1,9.685309296E0,9.766359526E0
2.139565583E0,9.234297180E-1,5.004093933E-1,9.668843536E0,9.725721944E0
2.149504583E0,7.776329041E-1,3.867956543E-1,9.907746735E0,9.945741258E0
2.159443583E0,9.027726746E-1,3.191363525E-1,1.001342697E1,1.005910365E1
2.169382583E0,8.006849670E-1,2.371069336E-1,9.997859344E0,1.003267201E1
2.179321583E0,5.745053101E-1,2.233355713E-1,1.005818390E1,1.007705306E1
2.189260583E0,7.113208008E-1,1.387614441E-1,1.013662079E1,1.016249541E1
2.199198583E0,8.023315430E-1,-1.945953369E-3,9.945468292E0,9.977779274E0
2.209137583E0,7.686515808E-1,-2.023791504E-1,9.774673462E0,9.806937537E0
2.219076583E0,4.950205994E-1,-4.004173279E-1,9.760153656E0,9.780898671E0
2.229015583E0,4.092489624E-1,-5.646258545E-1,9.712253265E0,9.737255802E0
2.238954583E0,7.851173401E-1,-3.242257690E-1,9.827363892E0,9.864005913E0
2.248893583E0,1.007405090E0,1.160087585E-1,1.007030869E1,1.012123708E1
2.258832583E0,1.178050232E0,5.167254639E-1,1.013961456E1,1.022088993E1
2.268771583E0,1.242416382E0,6.628216553E-1,9.949809265E0,1.004896191E1
2.278710583E0,1.418749695E0,5.553451538E-1,9.697434082E0,9.816388680E0
2.288649583E0,1.730401611E0,3.917353821E-1,9.811197510E0,9.970323110E0
2.298588583E0,1.976639557E0,2.354603577E-1,9.810299377E0,1.001022075E1
2.308527583E0,2.220033417E0,4.236190796E-2,9.570198669E0,9.824410694E0
2.318466583E0,2.595452728E0,-4.191284180E-3,9.396709442E0,9.748566088E0
2.328405583E0,2.775677948E0,-1.191522217E-1,9.577683105E0,9.972492115E0
2.338344583E0,2.811303864E0,-3.535647583E-1,9.853858795E0,1.025314443E1
2.348283583E0,2.580483856E0,-5.295986938E-1,9.755662994E0,1.010506468E1
2.358222583E0,2.285148010E0,-6.146218872E-1,9.550439758E0,9.839235797E0
2.368161583E0,2.079625397E0,-5.716612244E-1,9.771230621E0,1.000642724E1
2.378100583E0,1.954934692E0,-3.125500488E-1,1.004321503E1,1.023648501E1
2.388039583E0,1.573527832E0,-1.919009399E-1,9.954599304E0,1.008002297E1
2.397978583E0,-4.501139832E-1,4.176315308E-2,1.014664993E1,1.015671461E1
2.407916583E0,-3.288661194E-1,2.769241333E-1,9.903405762E0,9.912733507E0
2.417855583E0,-3.288661194E-1,9.864486694E-2,9.806257782E0,9.812266579E0
2.427794583E0,-3.326083374E-1,2.734812927E-1,1.007120682E1,1.008040808E1
2.437733583E0,-2.037263489E-1,1.064286804E-1,1.005653732E1,1.005916370E1
2.447672583E0,-2.050735474E-1,1.377136230E-1,9.916428680E0,9.919504926E0
2.457611583E0,-2.480342102E-1,1.393601990E-1,1.010758118E1,1.011158442E1
2.467550583E0,-3.743714905E-1,2.570155334E-1,9.943672028E0,9.954035583E0
2.477489583E0,-4.884342957E-1,2.154020691E-1,9.740843811E0,9.755460228E0
2.487428583E0,-4.763095093E-1,2.052232361E-1,9.913883972E0,9.927440896E0
2.497367583E0,-5.086422729E-1,2.321672058E-1,9.711355133E0,9.727437334E0
2.507306583E0,-4.379891968E-1,2.395019531E-1,9.468859406E0,9.482008973E0
2.517245583E0,-3.212319946E-1,2.896476746E-1,9.645192719E0,9.654886242E0
2.527184583E0,-2.700384521E-1,2.703378296E-1,9.685009918E0,9.692544579E0
2.537123583E0,-4.076023865E-1,3.264710999E-1,9.659413147E0,9.673519806E0
2.547062583E0,-4.435276794E-1,4.432283020E-1,9.846224670E0,9.866169895E0
2.557001583E0,-3.661386108E-1,5.495072937E-1,1.009186386E1,1.011344313E1
2.566940583E0,-3.975732422E-1,1.271306305E0,1.009964767E1,1.018710790E1
2.576879583E0,-3.097059631E-1,2.242935791E0,9.854756927E0,1.011152376E1
2.586818583E0,-1.410067749E-1,2.282603302E0,9.783505096E0,1.004724503E1
2.596757583E0,-7.753875732E-2,2.005828857E0,1.009650421E1,1.029411283E1
2.606696583E0,-2.170486450E-2,1.766027527E0,1.031160690E1,1.046176664E1
2.616635583E0,-1.038839722E-1,1.508263550E0,1.011581406E1,1.022816429E1
2.626573583E0,-2.857557678E-1,1.480870514E0,9.722581787E0,9.838863270E0
2.636512583E0,-3.002755737E-1,1.625769196E0,9.495354309E0,9.638207528E0
2.646451583E0,-3.138972473E-1,1.760039978E0,9.864636383E0,1.002533407E1
2.656390583E0,-2.588117981E-1,1.933529205E0,1.014515305E1,1.033100426E1
2.666329583E0,-2.498304749E-1,2.174827423E0,1.023391846E1,1.046543724E1
2.676268583E0,-3.716770935E-1,2.333347778E0,1.029035110E1,1.055812396E1
2.686207583E0,4.326004028E-2,2.401605835E0,1.033989807E1,1.061522841E1
2.696146583E0,2.891986084E-1,2.299518127E0,1.022418869E1,1.048358020E1
2.706085583E0,3.772155762E-1,2.030078430E0,9.823471985E0,1.003813289E1
2.716024583E0,1.901046753E-1,1.669777679E0,9.696086884E0,9.840650290E0
2.725963125E0,6.002517700E-2,1.160985718E0,9.768536224E0,9.837468720E0
2.735902125E0,3.562591553E-2,9.639953613E-1,9.651329956E0,9.699418858E0
2.745841125E0,1.227447510E-1,1.122964783E0,9.633516998E0,9.699524006E0
2.755780125E0,1.282832336E-1,1.449735260E0,9.651779022E0,9.760892746E0
2.765719125E0,2.260299683E-2,1.578617249E0,9.644444275E0,9.772811708E0
2.775658125E0,-4.087998962E-1,1.641935577E0,9.908195801E0,1.005163737E1
2.785597125E0,-6.433621216E-1,1.826202393E0,9.877060547E0,1.006505117E1
2.795536125E0,-4.595443726E-1,1.954335938E0,9.880054321E0,1.008196823E1
2.805475125E0,-5.480104065E-1,1.908231812E0,9.942025452E0,1.013832008E1
2.815414125E0,-7.574249268E-1,1.682501221E0,1.021640488E1,1.038168731E1
2.825353125E0,-1.099463654E0,1.347198486E0,1.008228378E1,1.023113925E1
2.835291125E0,-1.515298920E0,1.002465363E0,9.949509888E0,1.011404047E1
2.845230125E0,-8.202941895E-1,7.071295166E-1,1.031310379E1,1.036981314E1
2.855169125E0,3.727249146E-2,5.727090454E-1,1.026415558E1,1.028018845E1
