"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.048055583E0,5.343887329E-1,7.891589355E-1,9.883048096E0,9.928896354E0
2.057995583E0,5.212161255E-1,8.482859802E-1,1.004875351E1,1.009795536E1
2.067934583E0,4.800517273E-1,8.663983154E-1,1.009695328E1,1.014542070E1
2.077873583E0,4.781057739E-1,8.493338013E-1,1.009156448E1,1.013852192E1
2.087812583E0,4.984634399E-1,7.786807251E-1,1.006237518E1,1.010476144E1
2.097751583E0,5.637277222E-1,7.005432129E-1,1.005593857E1,1.009606112E1
2.107691583E0,6.084846497E-1,6.750961304E-1,1.003303619E1,1.007411652E1
2.117630583E0,5.852828979E-1,6.614744568E-1,1.000444565E1,1.004335787E1
2.127569583E0,5.152285767E-1,6.459068298E-1,9.941426697E0,9.975701524E0
2.137508583E0,6.201603699E-1,6.137237549E-1,9.712552643E0,9.751663169E0
2.147447583E0,9.620494080E-1,6.216572571E-1,9.390721893E0,9.460319999E0
2.157387583E0,1.385219421E0,6.644682312E-1,8.979227600E0,9.109713452E0
2.167326583E0,1.736089783E0,7.408094788E-1,8.769064636E0,8.969910870E0
2.177265583E0,1.889820099E0,8.452922058E-1,8.951834564E0,9.188105408E0
2.187204583E0,1.917662201E0,1.033899994E0,9.130862274E0,9.387173344E0
2.197143583E0,1.977088623E0,1.024170227E0,9.309740295E0,9.572307373E0
2.207083583E0,2.099533997E0,8.223898315E-1,9.444759521E0,9.710193121E0
2.217022583E0,2.213896179E0,6.059399414E-1,9.533674622E0,9.806092560E0
2.226961583E0,2.241289215E0,4.351451111E-1,9.773925018E0,1.003704831E1
2.236900583E0,2.151625671E0,3.022215271E-1,1.002659958E1,1.025931430E1
2.246839583E0,2.064656525E0,2.445913696E-1,1.012599289E1,1.033723191E1
2.256779583E0,1.928290100E0,1.799258423E-1,1.006491989E1,1.024955065E1
2.266718583E0,1.781146088E0,5.807922363E-2,9.884994049E0,1.004434975E1
2.276657583E0,1.760189667E0,-6.676116943E-2,9.637408905E0,9.797059514E0
2.286596583E0,1.833237762E0,-1.829196167E-1,9.431736603E0,9.609988326E0
2.296536583E0,1.868115234E0,-2.378553772E-1,9.304052124E0,9.492724353E0
2.306475583E0,1.603315887E0,-2.799179077E-1,9.525741119E0,9.663783925E0
2.316414583E0,1.161584473E0,-2.351609802E-1,9.800120544E0,9.871521760E0
2.326353583E0,7.918533325E-1,-7.694000244E-2,1.002076172E1,1.005229411E1
2.336292583E0,6.685098267E-1,5.792953491E-2,1.004830444E1,1.007068436E1
2.346232583E0,7.237449646E-1,1.149609375E-1,9.909842377E0,9.936900861E0
2.356171583E0,7.384144592E-1,1.103205872E-1,9.826914825E0,9.855236249E0
2.366110583E0,7.183561707E-1,1.008901978E-1,9.818532257E0,9.845292789E0
2.376049583E0,6.385720825E-1,2.261796570E-1,9.920919342E0,9.944021929E0
2.385988583E0,4.905299377E-1,3.278182983E-1,9.872270508E0,9.889884197E0
2.395928583E0,2.900967407E-1,2.650987244E-1,9.456884308E0,9.465045920E0
2.405867583E0,-5.508544922E-2,9.729766846E-2,9.314979401E0,9.315650405E0
2.415806583E0,-1.797761536E-1,3.727249146E-2,9.513167267E0,9.514938789E0
2.425745583E0,-6.271957397E-2,6.810836792E-2,9.770182800E0,9.770621497E0
2.435684583E0,1.910028076E-1,1.276844788E-1,1.005968079E1,1.006230406E1
2.445624583E0,3.619473267E-1,1.227447510E-1,1.021131546E1,1.021846542E1
2.455563583E0,2.820135498E-1,8.352630615E-2,1.017329453E1,1.017754537E1
2.465502583E0,1.463955688E-1,7.379653931E-2,1.002525238E1,1.002659279E1
2.475441583E0,8.322692871E-2,-3.308120728E-2,9.970915375E0,9.971317591E0
2.485380583E0,5.867797852E-2,-1.273851013E-1,1.000728973E1,1.000827247E1
2.495320583E0,1.866618347E-1,-2.302212524E-1,1.017823425E1,1.018254865E1
2.505259583E0,4.787045288E-1,-3.441343689E-1,1.035441788E1,1.037118875E1
2.515198583E0,7.423063660E-1,-4.502636719E-1,1.041638901E1,1.045250765E1
2.525137583E0,1.041085052E0,-5.698649597E-1,1.036639297E1,1.043411268E1
2.535076583E0,1.322948914E0,-7.310797119E-1,1.018586838E1,1.029740676E1
2.545016583E0,1.498084717E0,-8.173004150E-1,9.906848602E0,1.005275520E1
2.554955583E0,1.498982849E0,-8.204438782E-1,9.667196960E0,9.817065489E0
2.564894583E0,1.410516815E0,-7.526348877E-1,9.598639526E0,9.730873430E0
2.574833583E0,1.019978943E0,-6.236032104E-1,9.567953339E0,9.642352882E0
2.584772583E0,5.965095520E-1,-4.923262024E-1,9.767638092E0,9.798212216E0
2.594712583E0,5.281018066E-1,-3.492237854E-1,1.005698639E1,1.007689555E1
2.604651583E0,8.304730225E-1,-4.117936707E-1,1.045216461E1,1.049318848E1
2.614590583E0,1.254092102E0,-7.018904114E-1,1.058898010E1,1.068606086E1
2.624529583E0,1.684746552E0,-1.089434509E0,1.047401917E1,1.066444166E1
2.634468583E0,2.030677185E0,-1.484912109E0,1.035277130E1,1.065403620E1
2.644408583E0,2.021695862E0,-1.760788422E0,1.050201096E1,1.083881286E1
2.654347583E0,1.635199585E0,-1.731748810E0,1.075962524E1,1.102008925E1
2.664286583E0,1.050216064E0,-1.438059540E0,1.106513992E1,1.120751045E1
2.674225583E0,2.258802795E-1,-1.089284821E0,1.124761047E1,1.130249108E1
2.684165583E0,-5.951623535E-1,-7.833210754E-1,1.110435837E1,1.114785113E1
2.694104583E0,-1.174158325E0,-4.430786133E-1,1.098790054E1,1.105933654E1
